site_no,comid,station_nm,group
02469761,18548516,"TOMBIGBEE R AT COFFEEVILLE L&D NR COFFEEVILLE, AL.",observation
02469800,21640642,SATILPA CREEK NEAR COFFEEVILLE AL,observation
02470072,21638314,"BASSETT CREEK AT US HIGHWAY 43 NR THOMASVILLE, AL.",observation
02473460,18130568,"TALLAHALA CREEK AT WALDRUP, MS",observation
02475500,166759310,"CHUNKY RIVER NR CHUNKY, MS",observation
02476000,18194645,"OKATIBBEE CREEK NR MERIDIAN, MS",observation
02476500,166759312,"SOWASHEE CREEK AT MERIDIAN, MS",observation
02477000,18178477,"CHICKASAWHAY RIVER AT ENTERPRISE, MS",observation
02481880,15785080,"PEARL RIVER AT BURNSIDE, MS",observation
02482000,15785502,"PEARL RIVER AT EDINBURG, MS",observation
02482550,15788288,"PEARL RIVER NR CARTHAGE, MS",observation
02483000,15787182,"TUSCOLAMETA CREEK AT WALNUT GROVE, MS",observation
02483500,15788348,"PEARL RIVER NR LENA, MS",observation
02484000,15780454,"YOCKANOOKANY RIVER NR KOSCIUSKO, MS",observation
02484500,15786158,"YOCKANOOKANY RIVER NR OFAHOMA, MS",observation
02486000,15758318,"PEARL RIVER AT JACKSON, MS",observation
03612600,1841415,"OHIO RIVER AT OLMSTED, IL",observation
07024000,14126587,"BAYOU DE CHIEN NEAR CLINTON, KY",observation
07024500,14113038,"SOUTH FORK OBION RIVER NEAR GREENFIELD, TN",observation
07025400,7483456,"NORTH FORK OBION RIVER NEAR MARTIN, TENN (CE)",observation
07025500,7482794,"NORTH FORK OBION RIVER NEAR UNION CITY, TN",observation
07026000,7486822,"OBION RIVER AT OBION, TN",observation
07026040,7486930,"OBION RIVER AT HWY 51 NEAR OBION, TN",observation
07026300,7486676,"OBION RIVER NEAR BOGOTA, TN (CE)",observation
07026500,7484172,"REELFOOT CREEK NEAR SAMBURG, TN",observation
07027720,14240668,"SOUTH FORK FORKED DEER RIVER NEAR OWL CITY, TN",observation
07028000,14240198,"SOUTH FORK FORKED DEER RIVER AT CHESTNUT BLUFF, TN",observation
07028100,14240060,"S FK FORKED DEER RIVER NEAR HALLS, TENN (CE)",observation
07028960,14101407,MIDDLE FORK FORKED DEER RIVER NEAR FAIRVIEW,observation
07029000,14102543,"MIDDLE FORK FORKED DEER RIVER NEAR ALAMO, TN",observation
07029100,14099309,"NORTH FORK FORKED DEER RIVER AT DYERSBURG, TN",observation
07029500,14078174,"HATCHIE RIVER AT BOLIVAR, TN",observation
07030000,14074678,"HATCHIE RIVER NEAR STANTON, TENN.",observation
07030050,14073444,"HATCHIE RIVER AT RIALTO, TN",observation
07030240,14062259,"LOOSAHATCHIE RIVER NEAR ARLINGTON, TN",observation
07030392,14208484,"WOLF RIVER AT LAGRANGE, TN",observation
07030500,14207658,"WOLF RIVER AT ROSSVILLE, TN",observation
07031650,14206856,"WOLF RIVER AT GERMANTOWN, TN",observation
07031740,14208560,"WOLF RIVER AT HOLLYWOOD ST AT MEMPHIS, TN",observation
07040100,3666344,"St. Francis River at St. Francis, AR",observation
07040450,3671078,"St. Francis River at Lake City, AR",observation
07047600,3672338,"TYRONZA RIVER NEAR TYRONZA, ARK.",observation
07047902,3678902,"ST FRANCIS RIVER AT LATITUDE OF WITTSBURG, ARK.",observation
07047942,22860477,"LAnguille River near Colt, AR",observation
07047950,22865239,"LAnguille River at Palestine, AR",observation
07064000,7672652,"Black River near Corning, AR",observation
07074420,7551125,"Black River at Elgin Ferry, AR",observation
07077555,9278434,"Cache River near Cotton Plant, AR",observation
07077950,15344842,BIG CREEK AT POPLAR GROVE,observation
07078000,14854531,"LAGRUE BAYOU NEAR STUTTGART, ARK.",observation
07264000,938020696,"Bayou Meto near Lonoke, AR",observation
07271000,15289206,"CLEAR CREEK NR OXFORD, MS",observation
07274000,15274896,"YOCONA RIVER NR OXFORD, MS",observation
07275000,15276792,"YOCONA RIVER AT ENID DAM, MS",observation
07276000,15250600,"COLDWATER RIVER NR LEWISBURG, MS",observation
07277500,15251224,"COLDWATER RIVER NR COLDWATER, MS",observation
07277700,15251676,"HICKAHALA CREEK NR SENATOBIA, MS",observation
07278500,15256386,"COLDWATER RIVER AT ARKABUTLA DAM, MS",observation
07280400,18046426,"TILLATOBA CREEK AT CHARLESTON, MS",observation
07281600,17991438,Tallahatchie River,observation
07285500,18016786,"YALOBUSHA RIVER AT GRENADA, MS",observation
07287150,17995532,"ABIACA CREEK NR SEVEN PINES, MS",observation
07287160,17995532,"ABIACA CREEK AT CRUGER, MS",observation
07287400,17996962,"BLACK CREEK AT LEXINGTON, MS",observation
07288000,17951955,"BIG SUNFLOWER RIVER AT CLARKSDALE, MS",observation
07288280,17958105,"BIG SUNFLOWER RIVER NR MERIGOLD, MS",observation
07288500,17956869,"BIG SUNFLOWER RIVER AT SUNFLOWER, MS",observation
07288500,17956869,"BIG SUNFLOWER RIVER AT SUNFLOWER, MS",observation
07288555,17958153,"QUIVER RIVER SOUTHEAST RULEVILLE, MS",observation
07288570,17956091,"QUIVER RIVER NR DODDSVILLE, MS",observation
07288580,17956955,Quiver River,observation
07288650,17963095,"BOGUE PHALIA NR LELAND, MS",observation
07288700,17970237,"BIG SUNFLOWER RIVER NR ANGUILLA, MS",observation
0728875070,17930376,"DEER CREEK EAST OF LELAND, MS",observation
07288847,17929890,Steele Bayou,observation
07288860,17941828,Steele Bayou,observation
07288939,17938222,Steele Bayou,observation
07289350,19222549,"BIG BLACK RIVER AT WEST, MS",observation
07289500,19227137,"BIG BLACK RIVER AT PICKENS, MS",observation
07289730,19180610,"BIG BLACK RIVER NR BENTONIA, MS",observation
07290000,938060125,"BIG BLACK RIVER NR BOVINA, MS",observation
07348700,19935747,"Bayou Dorcheat near Springhill, LA",observation
07348800,19935457,"FLAT LICK BYU NR LETON, LA",observation
07349000,19935837,"Bayou Dorcheat near Minden, LA",observation
07349430,19926277,"BODCAU CREEK AT STAMPS, ARK.",observation
07349500,19927599,"Bodcau Bayou near Sarepta, LA",observation
07352000,19913448,"Saline Bayou near Lucky, LA",observation
07352500,19909743,"BLACK LK BYU NR CASTOR, LA",observation
07352800,19910035,"GRAND BYU NR COUSHATTA, LA",observation
07353500,19916436,"NANTACHIE CK NR MONTGOMERY, LA",observation
07362000,22005200,"Ouachita River at Camden, AR",observation
