FROMCOMID,TOCOMID
11869432,11869416
11869438,11869432
11869460,11869438
11869474,11869460
11869492,11869474
11869526,11869492
11869480,11869418
11869428,11869418
11869494,11869432
11869954,11869460
11869502,11869492
11869472,11869474
11869436,11869438
11869444,11869382
11869426,11869370
11869504,11869450
11869496,11869440
11869962,11870190
11870190,11870194
11870194,11870200
11870180,11869962
11870178,11870290
11869518,11869964
11869430,11869452
11869520,11869430
11869488,11869430
11869576,11869968
11869972,11869532
11869974,11869530
11869556,11869974
11869542,11869974
11869976,11869524
11869478,11869482
11869490,11869478
11869466,11869478
11869484,11869970
11869458,11869484
11869456,11869484
11869514,11869540
11869506,11869508
11869442,11869404
11869464,11869468
11869470,11869500
11870206,11870214
11869568,11870206
11869564,11869568
11869562,11869564
11869552,11869562
11869574,11869564
11869590,11869574
11869554,11869562
11869966,11869568
11869622,11870212
11870212,11870216
11869610,11869622
11869608,11869622
11870230,11870236
11869716,11870230
11869662,11869716
11869638,11869662
11869618,11869638
11869616,11869618
11869664,11869716
11869612,11869638
11869640,11869662
11870286,11870232
11870286,11870234
11870232,11870236
11870234,11870238
11870238,1840035
11870290,11870180
11870226,11870228
11870228,11869706
11870224,11870228
11870236,1840205
11870216,11870220
11870220,11870286
11870214,11870216
11870208,11870214
11870202,11870208
11869964,11870198
11870198,11870202
11869500,11869964
11869476,11869500
11869468,11869476
11869468,11869470
11869462,11869468
11869452,11869462
11869452,11869464
11869508,11869392
11869540,11869508
11869968,11869540
11869970,11869968
11869482,11869970
11869532,11869482
11869530,11869532
11869524,11869530
11869510,11869524
11870200,11870202
11870196,11870200
11870186,11870196
11870182,11870186
11869440,11869360
11869448,11869440
11869450,11869448
11869486,11869450
11869446,11870164
11869498,11870184
11870184,11870186
11870222,11870286
11869696,11870218
11870218,11870222
11869656,11869696
11869658,11869656
11869666,11869658
11869682,11869666
11869698,11869682
11869704,11869698
11869706,11869704
11869686,11870226
11869534,11869516
11869958,11869534
11869544,11869958
11869558,11869544
11869566,11869558
11869578,11869566
11869582,11869578
11869588,11869582
11869614,11869588
11869522,11870188
11870188,11870196
11869516,11869522
11869512,11869516
11869454,11869406
11869708,11869712
11869710,11869712
11869712,11869718
11869714,11869718
11869718,11870292
11870292,1840205
11870240,1840035
11869724,11870240
11869720,11869724
11869728,11869720
11869722,11869720
11869726,11869724
11869652,11869696
11869644,11869652
11869628,11869644
11869620,11869628
11869606,11869620
11869980,11869606
11869626,11869980
11869630,11869626
11869646,11869630
11869642,11869652
11869604,11869620
11869978,11869606
11869632,11869630
11869650,11869626
11869982,11869980
11869636,11869628
11869634,11869644
11869654,11869656
11869660,11869658
11869668,11869666
11869684,11869682
11869984,11869698
11869676,11870224
11869990,11869704
11869570,11870204
11870204,11870208
11869538,11869534
11870192,11869538
11869536,11870192
11869528,11869536
11869560,11869558
11869546,11869560
11869548,11869546
11869956,11869560
11869584,11869582
11869594,11869588
11869592,11869594
11870210,11869592
11869586,11870210
11869596,11869578
11869624,11869596
11869602,11869596
11869598,11869566
11869580,11869544
11869550,11869958
11869960,11869522
11869600,11869960
11869572,11869960
10563454,10563394
10563566,10563454
10563614,10563566
10563616,10563614
10563586,10563616
10563608,10563586
10563624,10563608
10563642,10563624
10563762,10563642
10563764,10563762
10565006,10563764
10563740,10565006
10563692,10563740
10563738,10563692
10563742,10563738
10563750,10563742
10563756,10563750
10563728,10563756
10563734,10563728
10563754,10563734
10563748,10563754
10566308,10563748
10565010,10563762
10563824,10565010
10563846,10563824
10563886,10563846
10563942,10563886
10564046,10563942
10564052,10564046
10564078,10564052
10564078,10564050
10564148,10564078
10564202,10564148
10564336,10564202
10564392,10564336
10563902,10563846
10563954,10563902
10564014,10563954
10564036,10564014
10564042,10564036
10565206,10564042
10564064,10565206
10564098,10564064
10563432,10563340
10563542,10563432
10563628,10563542
10565024,10563628
10563816,10565024
10563874,10563816
10563940,10563874
10564008,10563940
10564110,10564008
10564128,10564110
10564162,10564128
10564314,10564162
10564346,10564314
10564312,10564346
10564302,10564312
10564332,10564302
10564328,10564332
10564378,10564328
10564364,10564378
10564370,10564364
10564372,10564370
10565068,10564128
10564100,10565068
10564150,10564100
10564286,10564150
10564256,10564286
10564354,10564256
10564358,10564354
10564402,10564358
10564408,10564402
10564614,10565218
10564652,10564614
10564684,10564652
10564694,10564684
10565222,10564694
10564726,10565222
10564740,10564726
10564404,10564402
10564362,10564404
10564396,10564362
10565112,10564396
10564574,10565112
10564622,10564574
10564700,10564622
10564712,10564700
10564728,10564712
10564738,10564728
10564746,10564738
10564758,10564746
10564792,10564758
10566878,10564792
10566886,10566878
10566892,10566886
10566904,10566892
10567020,10566904
10567024,10567020
10563408,10563386
10563462,10563408
10563512,10563462
10563550,10563512
10563552,10563550
10563598,10563552
10563600,10563598
10563702,10563600
10563708,10563702
10563736,10563708
10563768,10563736
10565038,10563768
10563870,10565038
10563880,10563870
10563884,10563880
10563916,10563884
10563988,10563916
10564988,10565126
10563594,10564988
10563792,10563594
10564158,10564148
10564154,10564158
10564104,10565208
10564094,10564104
10564084,10564094
10564184,10564084
10563544,10563542
10563590,10563544
10563606,10563590
10564994,10563606
10565028,10564994
10564754,10564738
10564764,10565348
10564770,10564764
10564780,10564770
10566900,10564788
10564788,10564780
10563936,10563816
10564010,10563936
10564080,10564010
10564430,10564396
10564452,10564430
10564480,10564452
10564478,10564480
10564464,10564478
10564462,10564464
10564474,10564462
10564476,10564474
10564470,10564476
10564494,10564470
10564498,10564494
10564502,10564498
10564538,10564502
10564548,10564538
10564268,10565128
10564246,10564268
10564234,10564246
935140091,10564234
10564322,935140092
935140092,935140091
10564626,10564622
10564646,10564626
10564676,10564646
10564674,10564676
10564682,10564674
10564664,10564682
10563982,10563940
10564030,10563982
10564054,10564030
10564066,10564054
10564076,10564066
10564118,10564076
10565118,10564746
10565224,10565118
10564752,10565224
10565120,10564752
10565122,10565120
10563636,10563628
10563704,10563636
10565020,10563704
10563820,10565020
10563820,10565022
10563854,10563820
10563878,10563854
10563950,10563878
10563496,10563454
10563536,10563496
10565016,10563536
10563812,10565016
10563910,10563812
10564418,10564358
10564436,10564418
10564446,10564436
10565114,10564446
10565114,10564448
10564582,10565114
10564584,10564582
10564602,10564584
10564620,10564602
10564668,10564632
10564632,10564620
10563808,10565024
10563834,10563808
10565060,10563834
10563842,10565060
10564992,10564982
10563494,10564992
10563532,10563494
10563612,10563532
10563752,10563612
10563790,10563752
10565042,10563790
10564714,10564700
10564734,10564714
10564742,10564734
10564748,10564742
10564778,10565234
10564784,10564778
10566882,10564784
10566896,10566882
10563418,10564980
10563426,10563418
10563548,10563426
10563582,10563548
10563684,10563582
10564722,10564712
10563424,10563380
10563424,10563382
10563440,10563424
10563564,10563510
10563510,10563424
10566134,10566128
10566132,10566124
10566138,10566132
10566136,10566132
10563392,10563308
10563514,10563392
10563476,10563392
10563420,10563308
10563460,10563420
10563540,10563420
10563390,10563258
10563554,10563566
10563584,10563616
10563456,10563584
10563458,10563584
10563438,10563458
10563406,10563438
10563428,10563458
10563404,10563438
10563580,10563608
10563626,10563624
10563622,10563626
10563620,10563626
10563634,10563642
10563648,10563634
10563672,10563634
10563690,10563664
10563664,10563672
10563646,10563672
10563520,10563646
10563530,10563520
10563518,10563646
10563488,10563518
10563486,10563518
10563506,10563520
10563410,10563506
10563416,10563506
10563674,10563740
10563676,10563692
10563602,10563676
10563604,10563676
10563732,10563742
10563724,10563728
10566140,10563746
10563746,10563754
10564996,10563734
10563760,10563756
10564998,10563760
10565000,10563750
10565002,10563738
10563850,10565002
10563944,10565002
10563766,10565006
10565004,10563766
10563818,10565004
10563802,10565004
10565008,10563764
10563856,10565010
10563888,10565334
10563924,10563888
10563946,10563924
10564002,10563946
10563998,10565336
10563890,10563888
10563930,10563924
10563978,10563920
10563920,10563824
10564062,10564104
10564082,10564094
10564072,10564084
10564116,10565340
10564176,10564158
10564272,10564176
10564318,10564272
10564368,10564318
10564228,10564176
10564262,10564228
10564230,10564228
10564298,10564272
10564360,10564318
10564282,10564260
10564260,10564202
10564126,10564078
10564050,10564046
10564044,10563942
10564022,10563886
10564058,10563954
10564096,10564058
10564232,10565338
10564112,10564058
10564196,10564112
10564140,10564132
10564132,10564064
10564242,10564140
10564152,10564140
10564034,10564036
10564012,10564014
10563900,10563902
10563892,10563900
10563860,10563892
10563926,10563900
10563654,10563586
10563770,10563654
10563688,10563654
10565012,10563772
10563772,10563688
10563722,10563688
10563774,10563614
10565014,10563774
10563848,10563804
10563804,10565016
10563558,10563536
10563780,10563558
10563782,10563558
10565018,10563782
10563526,10563496
10563414,10563368
10563528,10563432
10563576,10563528
10563700,10563576
10563534,10563528
10563568,10563576
10563758,10563636
10563822,10563820
10563862,10563854
10563838,10563862
10563908,10563878
10565022,10563704
10564004,10563968
10563968,10563936
10563938,10563874
10563994,10563982
10564038,10563994
10563996,10563994
10564074,10564076
10564106,10564074
10564108,10564066
10564198,10564108
10564168,10564108
10564182,10564142
10564142,10564054
10564102,10564030
10564146,10564110
10564186,10564162
10564300,10564312
10564284,10564302
10564316,10564328
10564304,10564316
10564276,10564304
10564278,10564304
10564156,10564278
10564310,10564316
10564274,10564310
10564356,10564364
10564238,10564356
10564200,10564238
10564192,10564200
10564206,10564200
10564254,10564356
10564280,10564254
10564374,10564378
10564406,10564374
10564422,10564406
10564438,10564422
10564424,10564438
10564390,10564424
10564384,10564390
10564386,10564424
10564444,10564438
10564500,10564454
10564454,10564444
10564442,10564444
10564506,10564422
10564526,10564506
10564544,10564526
10564560,10564544
10564562,10564560
10564592,10564562
10564516,10564506
10564550,10564516
10564522,10564516
10564520,10564522
10564542,10564520
10564518,10564520
10564568,10564544
10564578,10564560
10564598,10564562
10564558,10564540
10564540,10564526
10564482,10564406
10564426,10564374
10564484,10564426
10564504,10564484
10564570,10564504
10564596,10564570
10564608,10564596
10564640,10564608
10564672,10564640
10564510,10564484
10564600,10564596
10564638,10564600
10564618,10564600
10564642,10564634
10564634,10564608
10564594,10564570
10564556,10564536
10564536,10564504
10564440,10564426
10564490,10564440
10564388,10564332
10564434,10564346
10564338,10564314
10565108,10564338
10564380,10564338
10564432,10564380
10564488,10564432
10564508,10564488
10564534,10564508
10564398,10564380
10564486,10564432
10564524,10564486
10564532,10564508
10564546,10564532
10564492,10564488
10565110,10564492
10565072,10564100
10564366,10564354
10564382,10564366
10564394,10564382
10564466,10564416
10564416,10564366
10564456,10564418
10564566,10564580
10564580,10564582
10564586,10564584
10564604,10564602
10564670,10564620
10564606,10565114
10565116,10564606
10564636,10564606
10564680,10564636
10564448,10564436
10564624,10564614
10564690,10564652
10564710,10564684
10564588,10565344
10564576,10564564
10564564,10565216
10564610,10565220
10564628,10564610
10564658,10564628
10564706,10564658
10564730,10564720
10564720,10564706
10564630,10564628
10564686,10564658
10564702,10564686
10564724,10564702
10564688,10564686
10564678,10564688
10564696,10564688
10564704,10564702
10564718,10564706
10564648,10564610
10564590,10565112
10564650,10564590
10564692,10564650
10564716,10564692
10564612,10564590
10564698,10564654
10564654,10564650
10564732,10564714
10564736,10564734
10565226,10564736
10564750,10565226
10564760,10564750
10564762,10564742
10564782,10564778
10566880,10564782
10566894,10566882
10564776,10565350
10564744,10564728
10566898,10564786
10564786,10564770
10564790,10564780
10566884,10564790
10564774,10564764
10564768,10565230
10564772,10564758
10566888,10566878
10566902,10566892
10566906,10566904
10566890,10567018
10567018,10566886
10564756,10564752
10565346,10564756
10564766,10565346
10564708,10564674
10564666,10564682
10564656,10564676
10564644,10564646
10564616,10564626
10564572,10564574
10564514,10564480
10564512,10564464
10564530,10564476
10564528,10564494
10564554,10564502
10564552,10564538
10564420,10564496
10564496,10564498
10564468,10564470
10564400,10564468
10564472,10564474
10564458,10564462
10564460,10564478
10564414,10564460
10564450,10564452
10564428,10564430
10565104,10564362
10565106,10565104
10564330,10564340
10564330,10564344
10564340,10564342
10564342,10564348
10564342,10564352
10564348,10564350
10565100,10565106
10565100,10564330
10564306,10565100
10565096,10564306
10565098,10565096
10565086,10565096
10564290,10565086
10564292,10565086
10565092,10564306
10564250,10565092
10564252,10565092
10565094,10565100
10564352,10564350
10564344,10564342
10565102,10564404
10564320,10565102
10564324,10564320
10564326,10564324
10565082,10564326
10565082,10564296
10565078,10565082
10565078,10564288
10564258,10565078
10564060,10564166
10564166,10564258
10564334,10564324
10564240,10564264
10564264,10565078
10564220,10564240
10564224,10564240
10564164,10564258
10564120,10564164
10564144,10564164
10564288,10564294
10564294,10564308
10565084,10564294
10564308,10564320
10565090,10565102
10564222,10564244
10564244,10564256
10564226,10564286
10565244,10564226
10564138,10564150
10564130,10564138
10564086,10564130
10564028,10564070
10564070,10564086
10564124,10564138
10563974,10564124
10563970,10563974
10563976,10564124
10564068,10564086
10564040,10564068
10564088,10564130
10564056,10565068
10564024,10564056
10564016,10564024
10563928,10564016
10564018,10564024
10564026,10564056
10564006,10564008
10565062,10563980
10563980,10564006
10563960,10564006
10563866,10563808
10563832,10563834
10563810,10563832
10565056,10563832
10563730,10563590
10563698,10563606
10565026,10564994
10563538,10563544
10563524,10563538
10563500,10563524
10563480,10563500
10563492,10563480
10563556,10563538
10563464,10563480
10563444,10563464
10564990,10563444
10563434,10563444
10563446,10563464
10563482,10563500
10563498,10563524
10563430,10563360
10563472,10564992
10563474,10563472
10563574,10563472
10563546,10563532
10563640,10563546
10563618,10563596
10563596,10563546
10563716,10563618
10563696,10563618
10563794,10563784
10563784,10563752
10563720,10563630
10563796,10563794
10563630,24825846
10563682,24825848
10563800,10563790
10565044,10563800
10563660,10563612
10563670,10563660
10563680,10563660
10565058,10563680
10563836,10565058
10563932,10563836
10564000,10563932
10563948,10563932
10563958,10563948
10564032,10563958
10563956,10563958
10564020,10563948
10563876,10563836
10563912,10563876
10563918,10563912
10563934,10563918
10563966,10563934
10563964,10563876
10563984,10563918
10563914,10563912
10563906,10563914
10563828,10565058
10563706,10563680
10563562,10563494
10564984,10564982
10563560,10564980
10563610,10563418
10563502,10563426
10563656,10563582
